[Header]
TITLE,hc_sample_12232020_1p8_300K.dat
BYAPP,HeatCapacity,3.8.14,1.7
INFO,1,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.14 Build 19,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
31066961.39,,5905,7.38052,7.4135,-0.005,9.2E-6,7.4547917,0.12156275,128.86159,0.06575,10.724767,0.02111,139.58636,0.06575,0.19271309,16.093906,0.012323577,98.912049,0,0,1,,,,8.7546E-6,31.58921,55.57392,17.28574,0
31067287.08,,5905,7.76906,7.7995,-0.005,9.3E-6,7.8451293,0.12700046,133.78683,0.1201,12.192704,0.02199,145.97953,0.1201,0.15955325,15.249783,0.014036503,98.787492,0,0,1,,,,9.6713E-6,32.18781,61.546054,17.053489,0
31067405.5,,5905,7.77078,7.8013,-0.005,9.2E-6,7.8468156,0.12514822,133.78539,0.08396,12.202347,0.022,145.98774,0.08396,0.97518749,15.457488,0.013293103,98.868534,0,0,1,,,,9.5353E-6,30.49957,61.572516,17.049641,0
31067525.55,,5905,7.77185,7.8021,-0.005,9.3E-6,7.8489529,0.12732857,133.77772,0.0908,12.210747,0.02201,145.98846,0.0908,2.4838975,15.743098,0.013185844,98.898943,0,0,1,,,,9.3599E-6,30.91498,61.606061,17.044021,0
31067850.31,,5905,8.15947,8.1906,-0.005,9.3E-6,8.2386079,0.13215722,140.15451,0.1443,13.778331,0.02422,153.93284,0.1443,0.16897206,15.179203,0.014774079,98.796104,0,0,1,,,,1.0244E-5,31.4862,67.87466,17.011916,0
31067968.22,,5905,8.16129,8.193,-0.005,9.3E-6,8.2407109,0.13177185,140.0546,0.1048,13.789588,0.02424,153.84419,0.1048,6.3907017,15.432945,0.014357779,98.851138,0,0,1,,,,1.0065E-5,30.35841,67.909316,16.995451,0
31068089.13,,5905,8.16248,8.1947,-0.005,9.3E-6,8.2431462,0.13422442,140.05187,0.09903,13.799795,0.02426,153.85167,0.09903,1.0878037,15.69885,0.014050892,98.89576,0,0,1,,,,9.8909E-6,30.86589,67.949459,16.990099,0
31068415.45,,5905,8.55096,8.5867,-0.005,9.2E-6,8.632861,0.13898317,146.76042,0.181,15.47693,0.02876,162.23735,0.181,0.072556913,15.285173,0.015865661,98.787766,0,0,1,,,,1.0721E-5,31.3977,74.526288,17.000207,0
31068532.81,,5905,8.55375,8.5908,-0.005,9.3E-6,8.6360298,0.13956289,146.56806,0.1137,15.494274,0.02882,162.06233,0.1137,2.9605489,15.54839,0.015204661,98.860733,0,0,1,,,,1.0521E-5,30.57035,74.581011,16.971694,0
31068652.23,,5905,8.55474,8.5908,-0.005,9.3E-6,8.6385416,0.14208296,146.82654,0.1168,15.505796,0.02886,162.33234,0.1168,2.305625,15.876712,0.015501421,98.861581,0,0,1,,,,1.0321E-5,31.09678,74.624401,16.996682,0
31068976.5,,5905,8.94175,8.9801,-0.005,9.4E-6,9.0267011,0.14673715,154.50214,0.1677,17.283587,0.03518,171.78573,0.1677,0.44332265,15.601255,0.01698407,98.787785,0,0,1,,,,1.112E-5,31.75342,81.481333,17.116125,0
31069096.61,,5905,8.94466,8.9838,-0.005,9.4E-6,9.0309514,0.14781091,154.20031,0.1197,17.304732,0.03525,171.50504,0.1197,2.7091812,15.768863,0.016149901,98.863019,0,0,1,,,,1.0977E-5,31.20251,81.558083,17.074647,0
31069218.13,,5905,8.94523,8.9828,-0.005,9.2E-6,9.0331167,0.14984484,154.36551,0.1216,17.317013,0.03529,171.68252,0.1216,0.69544682,16.036871,0.01572597,98.911384,0,0,1,,,,1.0801E-5,31.53773,81.597197,17.088842,0
31069548.03,,5905,9.3338,9.372,-0.005,9.3E-6,9.4225933,0.15420603,162.98106,0.1496,19.204979,0.03935,182.18604,0.1496,0.34481696,15.968732,0.017715712,98.815062,0,0,1,,,,1.1519E-5,32.07374,88.785264,17.296837,0
31069672,,5905,9.33643,9.3742,-0.005,9.2E-6,9.4269833,0.15649706,162.76616,0.1027,19.228827,0.03938,181.99498,0.1027,20.309316,16.159032,0.016976728,98.880589,0,0,1,,,,1.1365E-5,31.93746,88.868014,17.265986,0
31069796.02,,5905,9.33758,9.3767,-0.005,9.4E-6,9.4294236,0.15875498,162.55437,0.1139,19.243191,0.03939,181.79757,0.1139,7.2165395,16.377679,0.017036064,98.893559,0,0,1,,,,1.12E-5,32.31806,88.914029,17.239057,0
31070123.56,,5905,9.72613,9.7635,-0.005,9.3E-6,9.8188907,0.16280375,171.63801,0.1872,21.243681,0.04035,192.88169,0.1872,0.32473799,16.386059,0.019151259,98.798995,0,0,1,,,,1.1885E-5,32.75536,96.410615,17.480387,0
31070247.84,,5905,9.72839,9.766,-0.005,9.4E-6,9.8234056,0.16563818,171.62433,0.14,21.269789,0.04035,192.89412,0.14,2.7462628,16.571512,0.0182195,98.871863,0,0,1,,,,1.1745E-5,32.77212,96.499299,17.470961,0
31070374.28,,5905,9.72987,9.7654,-0.005,9.3E-6,9.8262133,0.16781513,171.50267,0.1465,21.283947,0.04035,192.78662,0.1465,1.5406003,16.767436,0.017900566,98.905964,0,0,1,,,,1.1598E-5,33.14302,96.554467,17.453587,0
31071006.28,,5905,10.1211,10.131,-0.005,9.3E-6,10.218441,0.17428078,181.01394,0.1448,23.402747,0.04049,204.41669,0.1448,0.36384956,17.346771,0.018586534,98.936621,0,0,1,,,,1.1884E-5,33.53487,104.41653,17.714439,0
31071138.11,,5905,10.1195,10.1333,-0.005,9.3E-6,10.221595,0.18052245,180.95875,0.1632,23.421604,0.04049,204.38036,0.1632,0.18649836,17.525204,0.018004715,98.981538,0,0,1,,,,1.1756E-5,34.69354,104.481,17.703573,0
31071273.13,,5905,10.1208,10.134,-0.005,9.4E-6,10.223128,0.18231754,181.35891,0.1767,23.42974,0.0405,204.78865,0.1767,0.60471824,17.793055,0.019091456,98.934496,0,0,1,,,,1.1607E-5,35.05041,104.51234,17.740061,0
31071617.64,,5905,10.5123,10.526,-0.005,9.2E-6,10.615714,0.18643268,191.0429,0.1699,25.630882,0.04138,216.67378,0.1699,2.6798582,17.737636,0.019657604,98.931045,0,0,1,,,,1.2318E-5,35.58611,112.69337,17.996237,0
31071752.13,,5905,10.5133,10.5262,-0.005,9.4E-6,10.618007,0.18860932,191.57563,0.177,25.646724,0.04138,217.22235,0.177,1.0275845,17.978023,0.020240272,98.912153,0,0,1,,,,1.2186E-5,35.47527,112.74207,18.042522,0
31071886.88,,5905,10.5123,10.5285,-0.005,9.4E-6,10.61955,0.1900739,191.30338,0.1959,25.655706,0.04139,216.95908,0.1959,0.87533502,17.871274,0.019835581,98.929097,0,0,1,,,,1.2242E-5,35.95605,112.77483,18.014265,0
31072231.45,,5905,10.9043,10.9109,-0.005,9.2E-6,11.01128,0.19295275,202.29669,0.2128,27.942434,0.04234,230.23913,0.2128,5.5807288,18.316613,0.022125352,98.86007,0,0,1,,,,1.2682E-5,35.74255,121.2483,18.371768,0
